"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 20:25:19 GMT 2024","Mon Jun 10 20:25:23 GMT 2024","3196","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
"passed","Mon Jun 10 20:25:13 GMT 2024","Mon Jun 10 20:25:14 GMT 2024","1678","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:25:18 GMT 2024","Mon Jun 10 20:25:19 GMT 2024","1041","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Mon Jun 10 20:25:11 GMT 2024","Mon Jun 10 20:25:12 GMT 2024","1575","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:25:08 GMT 2024","Mon Jun 10 20:25:10 GMT 2024","1986","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:25:11 GMT 2024","Mon Jun 10 20:25:12 GMT 2024","1634","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:25:16 GMT 2024","Mon Jun 10 20:25:18 GMT 2024","1622","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:25:18 GMT 2024","Mon Jun 10 20:25:19 GMT 2024","922","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Mon Jun 10 20:25:12 GMT 2024","Mon Jun 10 20:25:14 GMT 2024","1740","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:25:15 GMT 2024","Mon Jun 10 20:25:16 GMT 2024","1614","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:25:20 GMT 2024","Mon Jun 10 20:25:23 GMT 2024","3173","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
"passed","Mon Jun 10 20:25:16 GMT 2024","Mon Jun 10 20:25:18 GMT 2024","1603","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:25:06 GMT 2024","Mon Jun 10 20:25:08 GMT 2024","1790","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:25:08 GMT 2024","Mon Jun 10 20:25:10 GMT 2024","1879","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:25:14 GMT 2024","Mon Jun 10 20:25:16 GMT 2024","1772","CrossBrowser Test Suite","ChromiumTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
"passed","Mon Jun 10 20:25:06 GMT 2024","Mon Jun 10 20:25:08 GMT 2024","1788","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","TC-02 Top Menu Navigation"
